"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1393,1026,2013,1060,799,1508
"2024-10",2767,2224,3546,2019,1642,2553
"2024-11",2413,1844,3159,1827,1406,2363
"2024-12",8966,8293,9912,2085,1695,2632
"2025-01",6841,6418,7450,2344,1870,3077
"2025-02",1605,1333,2046,1498,1158,2020
"2025-03",1520,1090,2214,1965,1546,2643
"2025-04",2671,1913,3881,2948,2271,4009
"2025-05",5044,3131,8636,3276,2469,4665
"2025-06",4646,2672,8380,3453,2410,5077
"2025-07",11045,5515,22505,6841,4532,10178
"2025-08",13165,6889,24927,6535,4473,9546
"2025-09",3837,2211,7349,2628,1799,3842
