"fit","parameter","median","mean","decoupled","decoupled_reason","status","estimate","fit_method","source"
"shore_all_gear_Dungeness_Kept","R_G_boat",4.05004156269383,4.58382353003952,TRUE,"shore fit: no boat count stream; the boat gear ratio is its prior","prior only",NA,"BSS","reconstructed"
"shore_all_gear_Dungeness_Kept","B1",0.505160579382659,0.509093407251981,FALSE,NA,"unknown (window-dependent; not reconstructible)",NA,"BSS","reconstructed"
"shore_all_gear_Dungeness_Kept","B2",0.530316761683302,0.52650018908172,FALSE,NA,"unknown (window-dependent; not reconstructible)",NA,"BSS","reconstructed"
"shore_all_gear_Dungeness_Kept","B1_C",-0.322577664672836,-0.323683553351019,FALSE,NA,"unknown (window-dependent; not reconstructible)",NA,"BSS","reconstructed"
"shore_all_gear_Dungeness_Kept","B2_C",-0.192772587493497,-0.19123696622204,FALSE,NA,"unknown (window-dependent; not reconstructible)",NA,"BSS","reconstructed"
"shore_all_gear_Dungeness_Kept","gamma_C",0.0330661452965016,0.0127168286248521,TRUE,"estimate_cpue_density = FALSE: the density term is inert","prior only",NA,"BSS","reconstructed"
"shore_all_gear_Dungeness_Kept","kappa_OSP",3.03175912013731,3.1351503581756,TRUE,"shore fit: no OSP observations (OSP_n = 0)","prior only",NA,"BSS","reconstructed"
"shore_all_gear_Dungeness_Kept","sigma_r_OSP",1.03240019311664,6.34103706390364,TRUE,"shore fit: no OSP observations (OSP_n = 0)","prior only",NA,"BSS","reconstructed"
"shore_all_gear_Dungeness_Kept","r_OSP",0.938218185658426,4461.50994394295,TRUE,"shore fit: no OSP observations (OSP_n = 0)","prior only",NA,"BSS","reconstructed"
"shore_all_gear_Dungeness_Kept","f_crab[1]",1,1,TRUE,"shore fit: apply_crab_fraction = 0, f is pinned at 1","prior only",NA,"BSS","reconstructed"
"shore_all_gear_Dungeness_Kept","f_lower[1]",0,0,TRUE,"shore fit: apply_crab_fraction = 0, f is pinned at 1","prior only",NA,"BSS","reconstructed"
"shore_ring_net_only_Dungeness_Kept","mu_mu_E[1]",3.06076402910916,3.0913733424786,FALSE,NA,"estimate",3.06076402910916,"BSS","reconstructed"
"shore_ring_net_only_Dungeness_Kept","mu_mu_C[1]",0.287980502985519,0.131374608324196,FALSE,NA,"estimate",0.287980502985519,"BSS","reconstructed"
"shore_ring_net_only_Dungeness_Kept","sigma_eps_E",0.194295895425118,0.235534608018471,FALSE,NA,"estimate",0.194295895425118,"BSS","reconstructed"
"shore_ring_net_only_Dungeness_Kept","sigma_eps_C",0.122186545456647,0.146044991655587,FALSE,NA,"estimate",0.122186545456647,"BSS","reconstructed"
"shore_ring_net_only_Dungeness_Kept","phi_E",0.0939589908678865,0.0812141956389312,FALSE,NA,"estimate",0.0939589908678865,"BSS","reconstructed"
"shore_ring_net_only_Dungeness_Kept","phi_C",-0.297843422566208,-0.232783735146349,FALSE,NA,"estimate",-0.297843422566208,"BSS","reconstructed"
"shore_ring_net_only_Dungeness_Kept","sigma_r_E",0.558012675593875,0.562187365231366,FALSE,NA,"estimate",0.558012675593875,"BSS","reconstructed"
"shore_ring_net_only_Dungeness_Kept","sigma_r_C",0.773185210907609,0.773886655256198,FALSE,NA,"estimate",0.773185210907609,"BSS","reconstructed"
"shore_ring_net_only_Dungeness_Kept","r_E",3.21152917554924,3.29131473872189,FALSE,NA,"estimate",3.21152917554924,"BSS","reconstructed"
"shore_ring_net_only_Dungeness_Kept","r_C",1.67275725964667,1.68189428156173,FALSE,NA,"estimate",1.67275725964667,"BSS","reconstructed"
"shore_ring_net_only_Dungeness_Kept","sigma_mu_E",0.701937690985913,1.15743814639831,FALSE,NA,"estimate",0.701937690985913,"BSS","reconstructed"
"shore_ring_net_only_Dungeness_Kept","sigma_mu_C",0.692847504221464,1.10352806621023,FALSE,NA,"estimate",0.692847504221464,"BSS","reconstructed"
"shore_ring_net_only_Dungeness_Kept","sigma_IE",0.140895182759032,0.200596941048531,TRUE,"no I/E observations in this fit (n_ie_obs = 0); sigma_IE is its prior","prior only",NA,"BSS","reconstructed"
"shore_ring_net_only_Dungeness_Kept","R_G",1.32385937936137,1.32451920961394,FALSE,NA,"estimate",1.32385937936137,"BSS","reconstructed"
"shore_ring_net_only_Dungeness_Kept","R_G_boat",3.98853351694746,4.49227775321021,TRUE,"shore fit: no boat count stream; the boat gear ratio is its prior","prior only",NA,"BSS","reconstructed"
"shore_ring_net_only_Dungeness_Kept","B1",0.473836288907589,0.47440269841692,FALSE,NA,"unknown (window-dependent; not reconstructible)",NA,"BSS","reconstructed"
"shore_ring_net_only_Dungeness_Kept","B2",0.033196245311109,0.0587774669774347,FALSE,NA,"unknown (window-dependent; not reconstructible)",NA,"BSS","reconstructed"
"shore_ring_net_only_Dungeness_Kept","B1_C",-0.200783956342419,-0.200514891295887,FALSE,NA,"unknown (window-dependent; not reconstructible)",NA,"BSS","reconstructed"
"shore_ring_net_only_Dungeness_Kept","B2_C",-0.0849455881265455,-0.0848523096185772,FALSE,NA,"unknown (window-dependent; not reconstructible)",NA,"BSS","reconstructed"
"shore_ring_net_only_Dungeness_Kept","gamma_C",0.0289050152532659,0.019247517257358,TRUE,"estimate_cpue_density = FALSE: the density term is inert","prior only",NA,"BSS","reconstructed"
"shore_ring_net_only_Dungeness_Kept","kappa_OSP",3.00219173617678,3.140082047118,TRUE,"shore fit: no OSP observations (OSP_n = 0)","prior only",NA,"BSS","reconstructed"
"shore_ring_net_only_Dungeness_Kept","sigma_r_OSP",0.979144770988099,5.92307333799335,TRUE,"shore fit: no OSP observations (OSP_n = 0)","prior only",NA,"BSS","reconstructed"
"shore_ring_net_only_Dungeness_Kept","r_OSP",1.04305253370867,35951.0823352095,TRUE,"shore fit: no OSP observations (OSP_n = 0)","prior only",NA,"BSS","reconstructed"
"shore_ring_net_only_Dungeness_Kept","f_crab[1]",1,1,TRUE,"shore fit: apply_crab_fraction = 0, f is pinned at 1","prior only",NA,"BSS","reconstructed"
"shore_ring_net_only_Dungeness_Kept","f_lower[1]",0,0,TRUE,"shore fit: apply_crab_fraction = 0, f is pinned at 1","prior only",NA,"BSS","reconstructed"
