"fit","attempt","n_attempts_planned","ar_resolution","P_n","escalation_enabled","divergences","divergence_fraction","impact_C_sd","pass_convergence"
"shore_ring_net_only_Dungeness_Kept",1,1,"biweekly",6,FALSE,85,0.0142,0.0037,TRUE
"shore_all_gear_Dungeness_Kept",1,1,"daily",289,FALSE,488,0.0488,0.031,TRUE
"private_boat_all_gear_Dungeness_Kept",1,1,"monthly",10,FALSE,18,0.0018,4e-04,TRUE
