"data_type","obs_index","day_index","event_date","observed","lpd","loglik_sd","pareto_k","elpd_loo"
"gear",82,102,"2025-03-12",22,-3.2079,0.4949,0.296,-3.4802
"gear",83,104,"2025-03-14",13,-3.3874,0.7261,0.516,-3.941
"gear",84,104,"2025-03-14",18,-2.9605,0.3546,0.443,-3.0945
"gear",85,104,"2025-03-14",33,-4.1346,0.9975,1.021,-5.2806
"gear",86,105,"2025-03-15",6,-4.5364,1.0964,0.41,-5.7596
"gear",87,105,"2025-03-15",14,-2.8051,0.371,0.241,-2.9497
"gear",88,105,"2025-03-15",29,-4.3207,1.1406,0.749,-5.8314
"gear",89,108,"2025-03-18",10,-2.9139,0.5859,0.347,-3.2716
"gear",90,108,"2025-03-18",15,-2.7181,0.2123,0.277,-2.765
"gear",91,108,"2025-03-18",20,-3.182,0.5464,0.431,-3.5154
"gear",92,109,"2025-03-19",15,-2.7358,0.2418,0.379,-2.7974
"gear",93,109,"2025-03-19",13,-2.6241,0.2272,0.347,-2.6784
"gear",94,109,"2025-03-19",16,-2.8301,0.3148,0.412,-2.9359
"gear",95,110,"2025-03-20",4,-1.8611,0.2146,0.309,-1.9093
"gear",96,110,"2025-03-20",4,-1.8611,0.2146,0.309,-1.9093
"gear",97,110,"2025-03-20",1,-2.5705,0.7694,0.41,-3.1914
"gear",98,111,"2025-03-21",14,-2.7576,0.3574,0.443,-2.897
"gear",99,111,"2025-03-21",8,-2.6199,0.5061,0.419,-2.8948
"gear",100,111,"2025-03-21",9,-2.5289,0.398,0.35,-2.6989
"gear",101,112,"2025-03-22",56,-3.7858,0.2387,0.451,-3.8454
"gear",102,112,"2025-03-22",63,-3.9221,0.2998,0.425,-4.0205
"gear",103,112,"2025-03-22",65,-3.9841,0.3512,0.457,-4.1214
"gear",104,115,"2025-03-25",40,-4.5318,1.1284,0.741,-6.0538
"gear",105,115,"2025-03-25",22,-3.0659,0.3002,0.408,-3.1626
"gear",106,115,"2025-03-25",13,-3.951,0.8999,0.535,-4.8036
"gear",107,117,"2025-03-27",18,-2.8707,0.2653,0.441,-2.9465
"gear",108,117,"2025-03-27",13,-2.7809,0.3899,0.276,-2.9412
"gear",109,117,"2025-03-27",17,-2.8048,0.2224,0.362,-2.8568
"gear",110,118,"2025-03-28",17,-3.8086,0.8205,0.385,-4.5097
"gear",111,118,"2025-03-28",33,-3.405,0.3704,0.347,-3.5565
"gear",112,118,"2025-03-28",31,-3.3003,0.2801,0.304,-3.3844
"gear",113,119,"2025-03-29",91,-4.8025,0.6501,0.481,-5.2488
"gear",114,119,"2025-03-29",151,-4.8917,0.5135,0.585,-5.1892
"gear",115,119,"2025-03-29",161,-5.1362,0.6741,0.639,-5.6593
"gear",116,122,"2025-04-01",54,-3.7669,0.2716,0.429,-3.8459
"gear",117,122,"2025-04-01",62,-3.8799,0.2703,0.386,-3.9581
"gear",118,122,"2025-04-01",68,-4.0771,0.4181,0.408,-4.2706
"gear",119,123,"2025-04-02",9,-4.8275,1.13,0.629,-6.2023
"gear",120,123,"2025-04-02",18,-3.0962,0.4666,0.417,-3.3328
"gear",121,123,"2025-04-02",39,-4.6763,1.2038,0.846,-6.4873
"gear",122,124,"2025-04-03",36,-3.4171,0.2588,0.342,-3.4881
"gear",123,124,"2025-04-03",37,-3.4633,0.2928,0.347,-3.5551
"gear",124,124,"2025-04-03",31,-3.2921,0.2557,0.293,-3.361
"gear",125,125,"2025-04-04",56,-4.0794,0.5893,0.49,-4.4663
"gear",126,125,"2025-04-04",42,-3.5356,0.2383,0.277,-3.595
"gear",127,125,"2025-04-04",29,-3.9767,0.7129,0.38,-4.5101
"gear",128,126,"2025-04-05",104,-4.4457,0.3784,0.308,-4.5977
"gear",129,126,"2025-04-05",91,-4.2077,0.2225,0.281,-4.259
"gear",130,126,"2025-04-05",91,-4.2077,0.2225,0.281,-4.259
"gear",131,131,"2025-04-10",27,-3.2073,0.2895,0.377,-3.296
"gear",132,131,"2025-04-10",38,-3.6867,0.5087,0.492,-3.9758
"gear",133,131,"2025-04-10",27,-3.2073,0.2895,0.377,-3.296
"gear",134,132,"2025-04-11",37,-3.5557,0.3763,0.464,-3.7101
"gear",135,132,"2025-04-11",58,-4.216,0.6715,0.507,-4.7234
"gear",136,132,"2025-04-11",36,-3.5798,0.413,0.48,-3.7658
"gear",137,136,"2025-04-15",24,-3.1405,0.3246,0.218,-3.2523
"gear",138,136,"2025-04-15",35,-3.6549,0.5807,0.496,-4.042
"gear",139,136,"2025-04-15",23,-3.1568,0.375,0.242,-3.3066
"gear",140,140,"2025-04-19",196,-5.2081,0.8698,0.961,-6.617
"gear",141,144,"2025-04-23",20,-3.0684,0.4234,0.475,-3.2656
"gear",142,144,"2025-04-23",12,-2.8439,0.4858,0.445,-3.0962
"gear",143,144,"2025-04-23",14,-2.7453,0.3219,0.407,-2.856
"gear",144,145,"2025-04-24",32,-3.3427,0.2961,0.316,-3.4351
"gear",145,145,"2025-04-24",36,-3.6244,0.5022,0.399,-3.8972
"gear",146,145,"2025-04-24",22,-3.2801,0.4708,0.348,-3.515
"gear",147,146,"2025-04-25",27,-3.4012,0.4629,0.37,-3.6317
"gear",148,146,"2025-04-25",52,-4.6148,1.0419,0.634,-5.887
"gear",149,146,"2025-04-25",21,-3.8872,0.7804,0.456,-4.5395
"gear",150,150,"2025-04-29",39,-3.4684,0.239,0.288,-3.528
"gear",151,150,"2025-04-29",43,-3.5704,0.264,0.288,-3.6443
"gear",152,150,"2025-04-29",40,-3.4858,0.2305,0.268,-3.5411
"gear",153,151,"2025-04-30",63,-4.0451,0.4497,0.26,-4.2633
"gear",154,151,"2025-04-30",56,-3.7844,0.2529,0.16,-3.8512
"gear",155,151,"2025-04-30",45,-3.7048,0.3524,0.316,-3.8357
"gear",156,152,"2025-05-01",16,-5.462,1.1847,0.552,-6.9123
"gear",157,152,"2025-05-01",43,-3.6068,0.3087,0.406,-3.7069
"gear",158,152,"2025-05-01",59,-4.7969,1.0787,0.893,-6.0733
"gear",159,153,"2025-05-02",49,-3.8002,0.4299,0.461,-4.0089
"gear",160,153,"2025-05-02",36,-3.4839,0.3378,0.262,-3.6057
"gear",161,153,"2025-05-02",34,-3.5241,0.4115,0.266,-3.7054
"gear",162,154,"2025-05-03",62,-4.2232,0.5196,0.378,-4.509
"gear",163,154,"2025-05-03",84,-4.1375,0.2424,0.31,-4.1987
"gear",164,154,"2025-05-03",104,-4.7365,0.6527,0.47,-5.2114
"gear",165,155,"2025-05-04",67,-3.9924,0.3148,0.406,-4.0969
"gear",166,155,"2025-05-04",80,-4.1202,0.2657,0.489,-4.1952
"gear",167,155,"2025-05-04",83,-4.1925,0.32,0.474,-4.3029
"gear",168,158,"2025-05-07",12,-2.6988,0.4095,0.346,-2.8826
"gear",169,158,"2025-05-07",8,-2.3664,0.3417,0.259,-2.4883
"gear",170,158,"2025-05-07",5,-2.7496,0.7431,0.284,-3.3254
"gear",171,164,"2025-05-13",44,-3.6271,0.3346,0.295,-3.7475
"gear",172,164,"2025-05-13",37,-3.4329,0.2331,0.21,-3.4888
"gear",173,164,"2025-05-13",38,-3.4436,0.219,0.185,-3.4929
"gear",174,165,"2025-05-14",42,-3.5132,0.2128,0.274,-3.5602
"gear",175,165,"2025-05-14",53,-4.0143,0.5445,0.486,-4.3472
"gear",176,165,"2025-05-14",34,-3.5398,0.411,0.241,-3.718
"gear",177,166,"2025-05-15",33,-3.3245,0.2244,0.359,-3.3777
"gear",178,166,"2025-05-15",37,-3.5068,0.3497,0.492,-3.6409
"gear",179,166,"2025-05-15",32,-3.2968,0.2217,0.299,-3.3487
"gear",180,167,"2025-05-16",4,-5.1325,1.2905,0.576,-6.8532
"gear",181,167,"2025-05-16",10,-2.9687,0.6626,0.493,-3.4406
"gear",182,167,"2025-05-16",25,-3.9297,1.0577,0.692,-5.2032
"gear",183,168,"2025-05-17",58,-3.9317,0.365,0.307,-4.0741
"gear",184,168,"2025-05-17",83,-4.3631,0.5372,0.462,-4.6865
"gear",185,168,"2025-05-17",75,-4.0878,0.332,0.389,-4.2069
"gear",186,172,"2025-05-21",20,-3.258,0.619,0.524,-3.6945
"gear",187,172,"2025-05-21",9,-2.9771,0.6432,0.534,-3.424
"gear",188,172,"2025-05-21",13,-2.6594,0.2829,0.432,-2.7461
"gear",189,173,"2025-05-22",22,-3.2319,0.5249,0.707,-3.5505
"gear",190,173,"2025-05-22",17,-2.8148,0.2278,0.293,-2.8693
"gear",191,173,"2025-05-22",11,-3.0609,0.6521,0.289,-3.5115
"gear",192,174,"2025-05-23",60,-3.8348,0.2221,0.287,-3.8861
"gear",193,174,"2025-05-23",44,-3.9857,0.5777,0.379,-4.3402
"gear",194,174,"2025-05-23",78,-4.5225,0.6922,0.571,-5.0542
"gear",195,175,"2025-05-24",152,-5.1668,0.7318,0.562,-5.7729
"gear",196,175,"2025-05-24",126,-4.5557,0.3039,0.431,-4.6547
"gear",197,175,"2025-05-24",77,-4.9709,0.7967,0.327,-5.6451
"gear",198,186,"2025-06-04",12,-2.709,0.3841,0.427,-2.8683
"gear",199,186,"2025-06-04",14,-2.6792,0.2439,0.367,-2.7426
"gear",200,186,"2025-06-04",18,-2.9468,0.3693,0.428,-3.0961
"gear",201,187,"2025-06-05",18,-2.941,0.3531,0.453,-3.0793
"gear",202,187,"2025-06-05",15,-2.712,0.2198,0.381,-2.7631
"gear",203,187,"2025-06-05",12,-2.7193,0.4004,0.427,-2.8921
"gear",204,188,"2025-06-06",30,-3.2438,0.2355,0.35,-3.3023
"gear",205,188,"2025-06-06",34,-3.4261,0.3562,0.373,-3.5662
"gear",206,188,"2025-06-06",21,-3.4366,0.5888,0.506,-3.8133
"gear",207,189,"2025-06-07",135,-5.2881,0.8937,0.6,-6.2057
"gear",208,189,"2025-06-07",102,-4.3266,0.2578,0.247,-4.3966
"gear",209,189,"2025-06-07",69,-4.5748,0.6565,0.386,-5.0241
"gear",210,202,"2025-06-20",73,-4.4054,0.6596,0.508,-4.8907
"gear",211,202,"2025-06-20",63,-3.9534,0.3355,0.348,-4.0746
"gear",212,202,"2025-06-20",34,-4.491,0.8638,0.61,-5.3016
"gear",213,203,"2025-06-21",52,-3.9059,0.4418,0.335,-4.115
"gear",214,203,"2025-06-21",85,-4.6608,0.741,0.586,-5.2921
"gear",215,203,"2025-06-21",57,-3.8439,0.3137,0.335,-3.9486
"gear",216,214,"2025-07-02",61,-3.863,0.2591,0.162,-3.9333
"gear",217,214,"2025-07-02",82,-4.4547,0.6178,0.71,-4.9152
"gear",218,214,"2025-07-02",58,-3.8614,0.3127,0.097,-3.9646
"gear",219,217,"2025-07-05",135,-4.6297,0.3372,0.384,-4.7538
