"fit","R_G_interpretation","R_G_boat_interpretation"
"shore_ring_net_only_Dungeness_Kept","1.32 gear/crabber (1.27-1.39)","3.99 gear/group (1.47-10.73)"
"shore_all_gear_Dungeness_Kept","1.28 gear/crabber (1.24-1.32)","4.05 gear/group (1.46-10.60)"
"private_boat_all_gear_Dungeness_Kept","1.22 gear/crabber (0.67-2.21)","3.55 gear/group (3.24-3.88)"
