"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",44479,29293,68522,0.662
"Trap",11453,10081,13133,0.17
"Ring Net",9051,7482,11343,0.135
"Snare",1942,1666,2294,0.029
"Other",253,107,543,0.004
