"data_type","coverage_50","coverage_95","pit_mean","pit_sd","n","n_obs"
"trailer",0.712820512820513,0.984615384615385,0.419474358974359,0.239830762084937,195,195
"osp",0.484615384615385,0.992307692307692,0.586788461538462,0.275699600701692,130,130
"catch",0.595419847328244,0.977099236641221,0.511154580152672,0.272187303754262,131,131
