"Fit","days total","days sampled","catch total","catch extrapolated","% days sampled","% catch extrapolated"
"boat all-gear",289,66,24998,20462,23,81.9
"shore all-gear",289,145,17121,8330,50,48.7
"shore pot-closure",76,51,5875,1867,67,31.8
