"data_type","obs_index","day_index","event_date","observed","lpd","loglik_sd","pareto_k","elpd_loo"
"catch",82,126,"2025-04-05",3,-2.1114,0.1159,-0.004,-2.1249
"catch",83,126,"2025-04-05",5,-2.8506,0.2543,0.09,-2.9153
"catch",84,126,"2025-04-05",8,-2.9563,0.1277,0.122,-2.9727
"catch",85,136,"2025-04-15",1,-2.5381,0.3846,0.17,-2.6862
"catch",86,140,"2025-04-19",5,-2.7241,0.217,0.058,-2.7712
"catch",87,144,"2025-04-23",6,-2.8186,0.2471,0.217,-2.8816
"catch",88,151,"2025-04-30",3,-2.1191,0.1249,-0.008,-2.1348
"catch",89,152,"2025-05-01",24,-4.0485,0.1733,0.056,-4.0787
"catch",90,152,"2025-05-01",6,-2.7296,0.1363,0.044,-2.7482
"catch",91,152,"2025-05-01",12,-3.3778,0.1358,0.114,-3.3963
"catch",92,153,"2025-05-02",7,-2.8253,0.1068,0.155,-2.8368
"catch",93,155,"2025-05-04",16,-3.9032,0.3237,0.222,-4.0094
"catch",94,164,"2025-05-13",14,-4.6876,0.6338,0.231,-5.0941
"catch",95,164,"2025-05-13",5,-3.489,0.3079,0.109,-3.5841
"catch",96,167,"2025-05-16",36,-4.4598,0.2006,0.194,-4.5005
"catch",97,168,"2025-05-17",7,-2.8253,0.1068,0.155,-2.8368
"catch",98,172,"2025-05-21",2,-2.5958,0.2727,0.105,-2.6705
"catch",99,189,"2025-06-07",2,-2.7197,0.3761,0.083,-2.8619
"catch",100,202,"2025-06-20",22,-4.946,1.009,0.839,-6.324
"catch",101,202,"2025-06-20",3,-3.1149,0.397,0.094,-3.2734
"catch",102,203,"2025-06-21",1,-2.4897,0.393,0.091,-2.645
"catch",103,217,"2025-07-05",11,-3.259,0.1626,0.297,-3.2863
"catch",104,234,"2025-07-22",6,-2.7123,0.1544,0.363,-2.7367
"catch",105,234,"2025-07-22",12,-3.973,0.6254,0.611,-4.4117
"catch",106,234,"2025-07-22",3,-2.4357,0.2436,0.191,-2.4952
"catch",107,234,"2025-07-22",0,-3.1354,0.4951,0.245,-3.3815
"catch",108,242,"2025-07-30",0,-3.7059,0.5587,0.221,-4.0196
"catch",109,244,"2025-08-01",12,-3.6091,0.2643,0.076,-3.6797
"catch",110,244,"2025-08-01",5,-2.5288,0.0972,0.061,-2.5382
"catch",111,244,"2025-08-01",12,-3.2918,0.0922,0.078,-3.3004
"catch",112,244,"2025-08-01",13,-3.7827,0.3078,0.099,-3.8785
"catch",113,245,"2025-08-02",9,-3.0982,0.1216,0.057,-3.113
"catch",114,248,"2025-08-05",9,-3.0957,0.1302,-0.018,-3.1128
"catch",115,249,"2025-08-06",0,-3.1744,0.4106,0.077,-3.3432
"catch",116,249,"2025-08-06",4,-2.9624,0.2125,0.045,-3.0076
"catch",117,249,"2025-08-06",13,-3.36,0.0892,0.018,-3.368
"catch",118,249,"2025-08-06",17,-4.4698,0.4458,0.14,-4.6711
"catch",119,249,"2025-08-06",0,-1.799,0.2512,-0.004,-1.8622
"catch",120,262,"2025-08-19",12,-3.593,0.2378,-0.002,-3.6499
"catch",121,269,"2025-08-26",8,-2.9332,0.0948,0.074,-2.9422
"catch",122,269,"2025-08-26",6,-2.6535,0.0814,0.079,-2.6602
"catch",123,269,"2025-08-26",0,-1.799,0.2512,-0.004,-1.8622
"catch",124,271,"2025-08-28",6,-2.6535,0.0814,0.079,-2.6602
"catch",125,278,"2025-09-04",2,-2.4827,0.341,0.056,-2.5987
"catch",126,283,"2025-09-09",9,-3.5664,0.5779,0.342,-3.9327
"catch",127,283,"2025-09-09",1,-1.4315,0.1596,0.058,-1.457
"catch",128,284,"2025-09-10",6,-2.8123,0.2656,0.199,-2.8858
"catch",129,284,"2025-09-10",2,-2.228,0.2871,0.052,-2.3104
"catch",130,286,"2025-09-12",0,-1.9638,0.41,0.165,-2.1315
"catch",131,287,"2025-09-13",2,-2.4694,0.3484,0.148,-2.5906
