"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1670,1144,2823,1225,926,1689
"2024-10",2942,2310,3896,2100,1709,2602
"2024-11",2598,1998,3543,1944,1525,2474
"2024-12",8750,8131,9567,2087,1720,2586
"2025-01",6765,6361,7338,2412,1934,3099
"2025-02",1543,1299,1930,1498,1182,1975
"2025-03",1438,1033,2037,2003,1603,2596
"2025-04",2812,2033,3962,3217,2511,4197
"2025-05",4819,3005,8199,3213,2456,4327
"2025-06",4505,2657,7940,3563,2501,5170
"2025-07",10766,5467,21747,6874,4605,10130
"2025-08",12698,6811,23597,6829,4763,9770
"2025-09",3713,2195,7082,2583,1809,3763
