"population","gear_primary","total_catch","n_int","prop_catch"
"private_boat","Other",14,1,0.00811594202898551
"private_boat","Pot",1565,119,0.907246376811594
"private_boat","Ring Net",134,16,0.0776811594202899
"private_boat","Snare",6,1,0.00347826086956522
"private_boat","Trap",6,1,0.00347826086956522
"shore","Other",9,2,0.000980178610324548
"shore","Pot",2378,700,0.258984970594642
"shore","Ring Net",2322,614,0.252886081463733
"shore","Snare",622,168,0.0677412328468743
"shore","Trap",3851,788,0.419407536484426
