"fit","p_loo_frac","p_loo_worst_stream","n_pareto_bad","pit_worst_bias","pit_worst_stream","cov50_worst_dev","cov50_worst_stream","pit_sd_worst_dev","disp_neff_min","disp_neff_min_par","disp_scale_min","disp_scale_min_par","flag_overparameterised","flag_loo_unreliable","flag_pit_bias","flag_miscalibrated","flag_dispersion_neff","source","method_selected"
"private_boat_all_gear_Dungeness_Kept",0.0797,"catch",1,0.079,"osp",0.1923,"trailer",0.0424,9574,"sigma_r_C",0.7682,"sigma_r_C",FALSE,TRUE,TRUE,TRUE,FALSE,"reconstructed","BSS"
"private_boat_ring_net_only_Dungeness_Kept",0.2147,"catch",1,0.1322,"osp",0.2727,"trailer",0.0418,1175,"r_OSP",0.6344,"sigma_r_OSP",FALSE,TRUE,TRUE,TRUE,FALSE,"reconstructed","BSS"
"shore_all_gear_Dungeness_Kept",0.3519,"gear",41,0.0019,"catch",0.2398,"catch",0.061,5021,"r_E",0.2339,"sigma_r_E",TRUE,TRUE,FALSE,TRUE,FALSE,"reconstructed","BSS"
"shore_ring_net_only_Dungeness_Kept",0.1143,"gear",1,0.018,"gear",0.0678,"catch",0.022,6931,"sigma_r_E",0.5056,"sigma_r_E",FALSE,TRUE,FALSE,FALSE,FALSE,"reconstructed","BSS"
