"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",43026,28890,66055,0.654
"Trap",11549,10251,13096,0.176
"Ring Net",9008,7501,11158,0.137
"Snare",1952,1685,2266,0.03
"Other",243,108,537,0.004
