"fit","B1_median","B1_lo95","B1_hi95","weekend_multiplier","B2_median","B2_lo95","B2_hi95","holiday_multiplier"
"shore_ring_net_only_Dungeness_Kept",0.47,0.141,0.802,"1.6x (1.2-2.2)",0.046,-0.95,1.243,"1.7x (0.6-5.7)"
"shore_all_gear_Dungeness_Kept",0.759,0.62,0.906,"2.1x (1.9-2.5)",0.399,0.024,0.803,"3.2x (2.2-4.7)"
"private_boat_all_gear_Dungeness_Kept",0.26,-0.051,0.586,"1.3x (0.9-1.8)",0.533,-0.168,1.337,"2.2x (1.1-4.9)"
