"metric","value"
"Season start","2024-09-16"
"Season end","2025-09-15"
"Season days","365"
"PE total catch","74095"
"BSS total catch (median)","114107"
"BSS 95% CI lower","100508"
"BSS 95% CI upper","137823"
"Catch: Shore","49981"
"Catch: Private Boat","12107"
"Catch: Commercial/Charter","12007"
"Catch %: Shore","67.5"
"Catch %: Private Boat","16.3"
"Catch %: Commercial/Charter","16.2"
"Effort days sampled","200"
"Total interviews","3925"
"BSS fits attempted","3"
"BSS fits passed convergence","0"
