"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1657,1140,2795,1213,913,1682
"2024-10",3046,2361,4139,2131,1734,2658
"2024-11",2624,2007,3684,1955,1526,2491
"2024-12",9166,8366,10313,2279,1816,2882
"2025-01",6817,6342,7560,2277,1807,2880
"2025-02",1564,1303,1945,1511,1156,1988
"2025-03",1250,900,1877,1672,1394,2004
"2025-04",2897,2193,3967,3192,2627,3886
"2025-05",5697,3544,9965,3561,2839,4451
"2025-06",4497,2797,7842,3425,2589,4490
"2025-07",11540,6092,23130,7415,5174,10621
"2025-08",14672,7712,27432,7905,5577,11281
"2025-09",4114,2378,8082,2872,1984,4225
