"fit","B1_median","B1_lo95","B1_hi95","weekend_multiplier","B2_median","B2_lo95","B2_hi95","holiday_multiplier"
"shore_ring_net_only_Dungeness_Kept",0.706,0.372,1.037,"2.0x (1.5-2.8)",-0.106,-1.034,0.978,"1.8x (0.7-5.5)"
"shore_all_gear_Dungeness_Kept",1.033,0.896,1.172,"2.8x (2.4-3.2)",0.063,-0.269,0.412,"3.0x (2.2-4.2)"
"private_boat_ring_net_only_Dungeness_Kept",0.788,0.333,1.229,"2.2x (1.4-3.4)",-0.007,-1.955,1.935,"2.2x (0.3-16.0)"
"private_boat_all_gear_Dungeness_Kept",0.513,0.277,0.754,"1.7x (1.3-2.1)",0.471,-0.043,1.047,"2.7x (1.6-4.6)"
