"fit","p_loo_frac","p_loo_worst_stream","n_pareto_bad","pit_worst_bias","pit_worst_stream","disp_neff_min","disp_neff_min_par","flag_overparameterised","flag_loo_unreliable","flag_pit_bias","flag_dispersion_neff","source","method_selected"
"shore_ring_net_only_Dungeness_Kept",0.1117,"gear",0,0.0141,"gear",8267,"sigma_r_E",FALSE,FALSE,FALSE,FALSE,"live","BSS"
"shore_all_gear_Dungeness_Kept",0.0364,"gear",0,0.0089,"gear",14899,"sigma_r_E",FALSE,FALSE,FALSE,FALSE,"live","BSS"
"private_boat_ring_net_only_Dungeness_Kept",0.2279,"catch",1,0.082,"osp",4806,"sigma_r_E",FALSE,TRUE,TRUE,FALSE,"live","BSS"
"private_boat_all_gear_Dungeness_Kept",0.0773,"catch",1,0.0202,"osp",13262,"sigma_r_C",FALSE,TRUE,FALSE,FALSE,"live","BSS"
