"fit","divergences","treedepth_pct","C_sum_rhat","E_sum_rhat","C_sum_neff","E_sum_neff","max_gear_rhat","min_gear_neff","max_r_C_rhat","max_sigma_C_rhat","pass_convergence","method_selected","ar_resolution","divergence_fraction","impact_C_sd","impact_E_sd","distortion_C","distortion_E","pass_rhat","pass_neff","pass_div_fraction","pass_impact"
"shore_ring_net_only_Dungeness_Kept",17,0,0.9998,0.9997,7961,7605,0.9998,7961,0.9996,1.0008,TRUE,"BSS","biweekly",0.0021,2e-04,0,0.0312,0.0159,TRUE,TRUE,TRUE,TRUE
"shore_all_gear_Dungeness_Kept",10,0,1.0001,1,8096,10362,1.0001,8096,0.9997,1.0004,TRUE,"BSS","monthly",0.0013,2e-04,6e-04,0.0188,0.0216,TRUE,TRUE,TRUE,TRUE
"private_boat_ring_net_only_Dungeness_Kept",19,0,1,0.9998,8009,11779,1,8009,1.0002,0.9998,TRUE,"BSS","biweekly",0.0024,0,9e-04,0.3016,0.4551,TRUE,TRUE,TRUE,TRUE
"private_boat_all_gear_Dungeness_Kept",2,0,1,0.9998,15124,17777,1,15124,0.9997,1.0009,TRUE,"BSS","monthly",2e-04,2e-04,2e-04,0.3602,0.3483,TRUE,TRUE,TRUE,TRUE
