"tau_boat_prior_mu","scale_factor","boat_catch_median","boat_lo95","boat_hi95","boat_pct_change","port_total_median","port_lo95","port_hi95","port_pct_change","is_current_prior"
0.9,0.75,23070,9594,44209,-25,63172,49311,85204,-10.9,FALSE
1,0.8333,25633,10660,49121,-16.7,65726,50422,90093,-7.3,FALSE
1.2,1,30760,12793,58945,0,70886,52584,99966,0,TRUE
1.5,1.25,38450,15991,73682,25,78552,55906,114832,10.8,FALSE
1.8,1.5,46140,19189,88418,50,86310,59125,129652,21.8,FALSE
