"Fit","days total","days sampled","catch total","catch extrapolated","% days sampled","% catch extrapolated"
"boat all-gear",289,66,28865,23427,23,81.2
"boat pot-closure",76,13,795,567,17,71.3
"shore all-gear",289,145,19652,10649,50,54.2
"shore pot-closure",76,51,5955,1983,67,33.3
