"parameter","estimate","median","lo95","hi95","mean","n_eff","Rhat","decoupled","decoupled_reason","fit_method"
"mu_mu_E[1]",1.44258764490362,1.44258764490362,-0.326853085487428,3.61343954816978,1.47235786251999,3463,1.0013,FALSE,NA,"BSS"
"mu_mu_C[1]",0.778677774860793,0.778677774860793,-0.595842003582304,1.82417061124924,0.740929106071745,4042,0.9999,FALSE,NA,"BSS"
"sigma_eps_E",1.42510849447371,1.42510849447371,0.615811489528501,3.77438442597426,1.6088462745143,3051,1.0001,FALSE,NA,"BSS"
"sigma_eps_C",0.452706692216822,0.452706692216822,0.0194477322024387,2.07673537788658,0.602240287942172,4355,0.9998,FALSE,NA,"BSS"
"phi_E",0.288771752446508,0.288771752446508,-0.516359171961596,0.850443182171385,0.253508452994619,4234,1.0009,FALSE,NA,"BSS"
"phi_C",0.0679215656768116,0.0679215656768116,-0.774168150297322,0.81945106163903,0.0555855196901441,8805,1,FALSE,NA,"BSS"
"sigma_r_E",0.479983883693484,0.479983883693484,0.0606556739027137,0.90060881611769,0.475876320465967,4806,1.0008,FALSE,NA,"BSS"
"sigma_r_C",1.12445165757742,1.12445165757742,0.685104992707969,1.82085338343985,1.15714334810658,9240,0.9998,FALSE,NA,"BSS"
"r_E",4.34056935521287,4.34056935521287,1.23289932330536,271.804826604155,527.630181006899,5186,1.0002,FALSE,NA,"BSS"
"r_C",0.790894261486375,0.790894261486375,0.3016130151149,2.1305206165151,0.898109617181845,7813,1.0002,FALSE,NA,"BSS"
"sigma_mu_E",1.98568417544057,1.98568417544057,0.0968012115842342,45.9928174474032,11.7121529452322,5564,0.9999,FALSE,NA,"BSS"
"sigma_mu_C",1.98803187243875,1.98803187243875,0.0694478593881365,57.6515672242847,13.8559180323333,5921,0.9999,FALSE,NA,"BSS"
"sigma_IE",NA,0.13966060298075,0.00495053915831727,0.711431963894036,0.199162362361975,11676,1,TRUE,"no I/E observations in this fit (IE_n = 0); sigma_IE is its prior","BSS"
"R_G",1.29776277285972,1.29776277285972,0.723829834585951,2.31865698309304,1.35720373679609,12208,0.9997,FALSE,NA,"BSS"
"R_G_boat",2.89326087051781,2.89326087051781,2.18726212624609,3.73854515719434,2.90879547690536,13277,0.9997,FALSE,NA,"BSS"
"B1",0.788067533964929,0.788067533964929,0.332768916168393,1.22887086449755,0.786617347439955,10619,0.9997,FALSE,NA,"BSS"
"B2",-0.00661514340858524,-0.00661514340858524,-1.9549593754829,1.93455101229447,-0.00397493333619186,12796,0.9998,FALSE,NA,"BSS"
"B1_C",0.0386829437639859,0.0386829437639859,-1.10952159595536,1.26239008961026,0.0473118529079916,8611,1.0002,FALSE,NA,"BSS"
"kappa_OSP",NA,2.9999835318659,1.65608620544866,5.43464761192866,3.14342760408751,11784,0.9996,TRUE,"osp_scale_is_tau = 1: the OSP mean uses L, not kappa_OSP; this is the prior","BSS"
"sigma_r_OSP",0.690024359735313,0.690024359735313,0.439582748431859,1.0776974543421,0.707460540314111,10171,1,FALSE,NA,"BSS"
"r_OSP",2.10025078755126,2.10025078755126,0.861006287106853,5.17509977328008,2.33967856613897,7719,1.0001,FALSE,NA,"BSS"
"f_crab[1]",0.291159066468777,0.291159066468777,0.124878731565123,0.51527243732384,0.298208568863149,14492,0.9997,FALSE,NA,"BSS"
"f_lower[1]",NA,0,0,0,0,NA,NA,TRUE,"osp_crab_lower = 0: the OSP lower bound is off and f_lower is pinned at 0","BSS"
"tau_bar[1]",2.05005741906611,2.05005741906611,1.41547309762291,2.92979333204698,2.08280840752074,11793,0.9997,FALSE,NA,"BSS"
