"stream","n_obs","elpd_loo","se_elpd_loo","p_loo","n_pareto_k_gt_0.7","sum_lpd"
"trailer",44,-87.2020864844232,6.72423747723982,3.48108675550647,0,-83.72
"catch",17,-52.7553607050258,3.57079201125471,3.60403449503231,1,-49.15
