"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95"
"Dungeness_Kept","Effort",27694,41902,34851,51383
"Dungeness_Kept","Expected_Catch",45112,71521,52350,100759
"Dungeness_Kept","Predictive_Catch",NA,71553,52358,100723
