"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1698,1155,2980,1238,924,1701
"2024-10",3031,2362,4119,2134,1726,2648
"2024-11",2668,2052,3793,1966,1544,2500
"2024-12",9071,8321,10137,2174,1786,2695
"2025-01",7005,6511,7770,2482,1994,3172
"2025-02",1603,1340,2013,1525,1206,2006
"2025-03",1534,1100,2220,2032,1628,2626
"2025-04",2974,2140,4273,3292,2575,4295
"2025-05",5666,3375,10029,3423,2586,4600
"2025-06",4690,2730,8337,3634,2568,5293
"2025-07",11416,5882,22985,7146,4764,10498
"2025-08",14532,7373,27832,7392,4985,10895
"2025-09",4212,2375,8327,2858,1945,4229
