"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",48034,31481,75102,0.674
"Trap",11571,10330,13057,0.162
"Ring Net",9418,7751,11981,0.132
"Snare",1974,1705,2302,0.028
"Other",286,122,612,0.004
