"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1728,1174,2969,1240,938,1706
"2024-10",3007,2335,4059,2141,1736,2686
"2024-11",2659,2030,3745,1979,1541,2522
"2024-12",8945,8245,9961,2172,1799,2681
"2025-01",7017,6519,7808,2480,1989,3169
"2025-02",1608,1344,2019,1523,1199,1999
"2025-03",1555,1116,2256,2030,1630,2648
"2025-04",2922,2103,4199,3287,2576,4287
"2025-05",5557,3293,10017,3424,2586,4659
"2025-06",4642,2708,8264,3635,2535,5254
"2025-07",11422,5886,23023,7153,4798,10541
"2025-08",14618,7508,27891,7413,5011,10932
"2025-09",4200,2356,8347,2853,1937,4257
