"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",48202,31414,75304,0.675
"Trap",11511,10274,13096,0.161
"Ring Net",9426,7660,11932,0.132
"Snare",1961,1695,2286,0.027
"Other",284,127,637,0.004
