"data_type","day_index","event_date","observed","fitted_mean","pit","p_zero","in_50","in_95"
"gear",2,"2024-09-17",30,30.698,0.5595,0.00044,TRUE,TRUE
"gear",3,"2024-09-18",29,30.698,0.5357,0.00044,TRUE,TRUE
"gear",4,"2024-09-19",55,30.698,0.9087,0.00044,FALSE,TRUE
"gear",5,"2024-09-20",29,30.698,0.5357,0.00044,TRUE,TRUE
"gear",6,"2024-09-21",48,62.96,0.3946,7e-05,TRUE,TRUE
"gear",9,"2024-09-24",50,30.698,0.8715,0.00044,FALSE,TRUE
"gear",10,"2024-09-25",13,30.698,0.129,0.00044,FALSE,TRUE
"gear",12,"2024-09-27",34,30.698,0.6469,0.00044,TRUE,TRUE
"gear",13,"2024-09-28",79,62.96,0.735,7e-05,TRUE,TRUE
"gear",16,"2024-10-01",30,29.421,0.5883,5e-04,TRUE,TRUE
"gear",18,"2024-10-03",45,29.421,0.8423,5e-04,FALSE,TRUE
"gear",19,"2024-10-04",29,29.421,0.5645,5e-04,TRUE,TRUE
"gear",20,"2024-10-05",72,60.227,0.7027,8e-05,TRUE,TRUE
"gear",23,"2024-10-08",30,29.421,0.5883,5e-04,TRUE,TRUE
"gear",24,"2024-10-09",29,29.421,0.5645,5e-04,TRUE,TRUE
"gear",26,"2024-10-11",14,29.421,0.1641,5e-04,FALSE,TRUE
"gear",27,"2024-10-12",62,60.227,0.5993,8e-05,TRUE,TRUE
"gear",28,"2024-10-13",64,60.227,0.6218,8e-05,TRUE,TRUE
"gear",30,"2024-10-15",27,27.844,0.5519,0.00054,TRUE,TRUE
"gear",31,"2024-10-16",37,27.844,0.7649,0.00054,FALSE,TRUE
"gear",32,"2024-10-17",43,27.844,0.8474,0.00054,FALSE,TRUE
"gear",33,"2024-10-18",39,27.844,0.7959,0.00054,FALSE,TRUE
"gear",34,"2024-10-19",62,57.101,0.637,8e-05,TRUE,TRUE
"gear",36,"2024-10-21",29,27.844,0.6023,0.00054,TRUE,TRUE
"gear",37,"2024-10-22",25,27.844,0.4981,0.00054,TRUE,TRUE
"gear",38,"2024-10-23",35,27.844,0.7302,0.00054,TRUE,TRUE
"gear",39,"2024-10-24",24,27.844,0.4701,0.00054,TRUE,TRUE
"gear",40,"2024-10-25",10,27.844,0.09,0.00054,FALSE,TRUE
"gear",41,"2024-10-26",36,57.101,0.2796,8e-05,TRUE,TRUE
"gear",42,"2024-10-27",18,57.101,0.0612,8e-05,FALSE,TRUE
"gear",45,"2024-10-30",18,25.856,0.3403,0.00069,TRUE,TRUE
"gear",46,"2024-10-31",12,25.856,0.1597,0.00069,FALSE,TRUE
"gear",47,"2024-11-01",33,25.856,0.7392,0.00069,TRUE,TRUE
"gear",48,"2024-11-02",79,53.026,0.8311,1e-04,FALSE,TRUE
"gear",51,"2024-11-05",8,25.856,0.0682,0.00069,FALSE,TRUE
"gear",52,"2024-11-06",17,25.856,0.3087,0.00069,TRUE,TRUE
"gear",53,"2024-11-07",25,25.856,0.5524,0.00069,TRUE,TRUE
"gear",54,"2024-11-08",36,25.856,0.7909,0.00069,FALSE,TRUE
"gear",55,"2024-11-09",22,53.026,0.1199,1e-04,FALSE,TRUE
"gear",59,"2024-11-13",25,25.252,0.5692,0.00074,TRUE,TRUE
"gear",60,"2024-11-14",43,25.252,0.8875,0.00074,FALSE,TRUE
"gear",61,"2024-11-15",46,25.252,0.9121,0.00074,FALSE,TRUE
