"data_type","day_index","event_date","observed","fitted_mean","pit","p_zero","in_50","in_95"
"trailer",2,"2024-09-17",5,5.709,0.5816,0.11923,TRUE,TRUE
"trailer",3,"2024-09-18",9,5.709,0.7988,0.11923,FALSE,TRUE
"trailer",4,"2024-09-19",3,5.709,0.4037,0.11923,TRUE,TRUE
"trailer",5,"2024-09-20",1,5.709,0.1792,0.11923,FALSE,TRUE
"trailer",5,"2024-09-20",0,5.709,0.0596,0.11923,FALSE,TRUE
"trailer",9,"2024-09-24",3,5.709,0.4037,0.11923,TRUE,TRUE
"trailer",12,"2024-09-27",5,5.709,0.5816,0.11923,TRUE,TRUE
"trailer",13,"2024-09-28",12,16.648,0.5095,0.041,TRUE,TRUE
"trailer",16,"2024-10-01",7,2.257,0.9444,0.2735,FALSE,TRUE
"trailer",18,"2024-10-03",4,2.257,0.813,0.2735,FALSE,TRUE
"trailer",19,"2024-10-04",5,2.257,0.8759,0.2735,FALSE,TRUE
"trailer",20,"2024-10-05",12,6.577,0.8453,0.1033,FALSE,TRUE
"trailer",23,"2024-10-08",0,2.257,0.1368,0.2735,FALSE,TRUE
"trailer",24,"2024-10-09",3,2.257,0.7184,0.2735,TRUE,TRUE
"trailer",26,"2024-10-11",3,2.257,0.7184,0.2735,TRUE,TRUE
"trailer",27,"2024-10-12",9,6.577,0.7495,0.1033,TRUE,TRUE
"trailer",28,"2024-10-13",7,6.577,0.6537,0.1033,TRUE,TRUE
"trailer",30,"2024-10-15",2,2.257,0.5796,0.2735,TRUE,TRUE
"trailer",31,"2024-10-16",2,2.257,0.5796,0.2735,TRUE,TRUE
"trailer",32,"2024-10-17",2,2.257,0.5796,0.2735,TRUE,TRUE
"trailer",33,"2024-10-18",1,2.257,0.3855,0.2735,TRUE,TRUE
"trailer",34,"2024-10-19",0,6.577,0.0517,0.1033,FALSE,TRUE
"trailer",36,"2024-10-21",1,2.257,0.3855,0.2735,TRUE,TRUE
"trailer",37,"2024-10-22",0,2.257,0.1368,0.2735,FALSE,TRUE
"trailer",38,"2024-10-23",0,2.257,0.1368,0.2735,FALSE,TRUE
"trailer",39,"2024-10-24",2,2.257,0.5796,0.2735,TRUE,TRUE
"trailer",40,"2024-10-25",0,2.257,0.1368,0.2735,FALSE,TRUE
"trailer",41,"2024-10-26",1,6.577,0.1555,0.1033,FALSE,TRUE
"trailer",45,"2024-10-30",1,2.257,0.3855,0.2735,TRUE,TRUE
"trailer",47,"2024-11-01",2,0.766,0.8699,0.56355,FALSE,TRUE
"trailer",51,"2024-11-05",0,0.766,0.2818,0.56355,TRUE,TRUE
"trailer",52,"2024-11-06",1,0.766,0.6905,0.56355,TRUE,TRUE
"trailer",53,"2024-11-07",4,0.766,0.9745,0.56355,FALSE,TRUE
"trailer",54,"2024-11-08",1,0.766,0.6905,0.56355,TRUE,TRUE
"trailer",55,"2024-11-09",0,2.242,0.1493,0.29859,FALSE,TRUE
"trailer",58,"2024-11-12",0,0.766,0.2818,0.56355,TRUE,TRUE
"trailer",59,"2024-11-13",0,0.766,0.2818,0.56355,TRUE,TRUE
"trailer",60,"2024-11-14",0,0.766,0.2818,0.56355,TRUE,TRUE
"trailer",65,"2024-11-19",0,0.766,0.2818,0.56355,TRUE,TRUE
"trailer",66,"2024-11-20",0,0.766,0.2818,0.56355,TRUE,TRUE
"trailer",67,"2024-11-21",0,0.766,0.2818,0.56355,TRUE,TRUE
"trailer",68,"2024-11-22",0,0.766,0.2818,0.56355,TRUE,TRUE
"trailer",72,"2024-11-26",1,0.766,0.6905,0.56355,TRUE,TRUE
"trailer",76,"2024-11-30",2,2.242,0.6028,0.29859,TRUE,TRUE
"osp",3,"2024-09-18",23,11.007,0.9079,0.0299,FALSE,TRUE
"osp",4,"2024-09-19",11,10.625,0.6203,0.03154,TRUE,TRUE
"osp",5,"2024-09-20",8,10.48,0.4731,0.03175,TRUE,TRUE
"osp",6,"2024-09-21",53,31.431,0.8484,0.00755,FALSE,TRUE
"osp",7,"2024-09-22",58,31.763,0.8755,0.00734,FALSE,TRUE
"osp",11,"2024-09-26",8,10.474,0.4743,0.03195,TRUE,TRUE
"osp",12,"2024-09-27",5,10.332,0.2926,0.03237,TRUE,TRUE
"osp",13,"2024-09-28",12,29.598,0.2211,0.0078,FALSE,TRUE
