"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",39100,33500,47632,0.638
"Trap",11411,10082,13140,0.186
"Ring Net",8584,7601,9910,0.14
"Snare",1916,1662,2238,0.031
"Other",228,139,372,0.004
