"Fit","days total","days sampled","catch total","catch extrapolated","% days sampled","% catch extrapolated"
"boat all-gear",289,66,19664,15696,23,79.8
"shore all-gear",289,145,17064,8277,50,48.5
"shore pot-closure",76,51,5872,1870,67,31.8
