"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1475,1117,2109,1098,837,1559
"2024-10",2896,2338,3676,2089,1691,2604
"2024-11",2439,1875,3201,1841,1439,2364
"2024-12",9189,8502,10095,2147,1758,2693
"2025-01",6992,6563,7601,2395,1907,3129
"2025-02",1624,1342,2080,1488,1151,2012
"2025-03",1548,1133,2242,1967,1554,2625
"2025-04",2867,2087,4083,3048,2376,4112
"2025-05",5232,3653,8062,3292,2566,4514
"2025-06",3360,2176,5452,2906,2068,4384
"2025-07",7815,4849,13439,5457,4155,7415
"2025-08",11210,7627,17170,5846,4675,7519
"2025-09",3771,2430,6441,2569,1991,3448
