"Component","Effort_hrs","Dungeness"
"Shore (Pot closure)",4485.73333333333,5868.69851125377
"Shore (All gear)",18104.0555555556,15664.5579221061
"Private Boat (Pot closure)",291.952941176471,584.990374331551
"Private Boat (All gear)",5942.9224137931,18233.9269534414
"Commercial/Charter",282.811594202899,11985.6830227743
"PORT TOTAL",29107.4758380614,52337.8567839071
