"Fit","days total","days sampled","catch total","catch extrapolated","% days sampled","% catch extrapolated"
"boat all-gear",289,66,32954,26895,23,81.6
"boat pot-closure",76,13,620,391,17,63.1
"shore all-gear",289,145,17858,9112,50,51
"shore pot-closure",76,51,5779,1879,67,32.5
