"fit","attempt","n_attempts_planned","ar_resolution","P_n","escalation_enabled","divergences","divergence_fraction","impact_C_sd","pass_convergence"
"shore_ring_net_only_Dungeness_Kept",1,4,"daily",76,TRUE,111,0.0185,6e-04,TRUE
"shore_all_gear_Dungeness_Kept",1,4,"daily",289,TRUE,333,0.0333,0.0034,TRUE
"private_boat_ring_net_only_Dungeness_Kept",1,4,"daily",76,TRUE,78,0.013,0,TRUE
"private_boat_all_gear_Dungeness_Kept",1,4,"daily",289,TRUE,154,0.0154,1e-04,TRUE
