"stream","n_obs","elpd_loo","se_elpd_loo","p_loo","n_pareto_k_gt_0.7","sum_lpd"
"trailer",44,-79.6955479086922,6.80421689203467,11.189535614397,4,-68.51
"catch",17,-48.3654119827775,3.70851956969209,10.1188282334216,8,-38.25
