"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",54385,34285,85130,0.695
"Trap",11595,10356,13113,0.148
"Ring Net",9955,7999,12818,0.127
"Snare",1996,1724,2356,0.025
"Other",346,147,739,0.004
