"fit","p_loo_frac","p_loo_worst_stream","n_pareto_bad","pit_worst_bias","pit_worst_stream","cov50_worst_dev","cov50_worst_stream","pit_sd_worst_dev","disp_neff_min","disp_neff_min_par","disp_scale_min","disp_scale_min_par","flag_overparameterised","flag_loo_unreliable","flag_pit_bias","flag_miscalibrated","flag_dispersion_neff","source","method_selected"
"private_boat_all_gear_Dungeness_Kept",0.1631,"trailer",2,0.0961,"trailer",0.4308,"osp",0.1267,307,"sigma_r_OSP",0.307,"sigma_r_OSP",FALSE,TRUE,TRUE,TRUE,TRUE,"reconstructed","BSS"
"private_boat_ring_net_only_Dungeness_Kept",0.5952,"catch",12,0.0929,"osp",0.5,"osp",0.1469,597,"sigma_r_C",0.2092,"sigma_r_OSP",TRUE,TRUE,TRUE,TRUE,FALSE,"reconstructed","BSS"
"shore_all_gear_Dungeness_Kept",0.3519,"gear",41,0.0021,"catch",0.2556,"gear",0.0616,5021,"r_E",0.2339,"sigma_r_E",TRUE,TRUE,FALSE,TRUE,FALSE,"reconstructed","BSS"
"shore_ring_net_only_Dungeness_Kept",0.5139,"gear",30,0.0096,"gear",0.2692,"gear",0.0885,192,"sigma_r_E",0.3501,"sigma_r_E",TRUE,TRUE,FALSE,TRUE,TRUE,"reconstructed","BSS"
