"period","date_start","date_end","n_days","n_days_with_effort","n_days_with_interview","frac_days_effort","frac_days_interview","n_effort_obs","n_interviews","n_ie_obs","observed","omega_E_ci95_width","omega_C_ci95_width"
1,"2024-09-16","2024-09-16",1,0,0,0,0,0,0,0,FALSE,4.00985097829035,5.63633951020486
2,"2024-09-17","2024-09-17",1,1,1,1,1,1,1,0,TRUE,3.37309347313972,4.56549793210912
3,"2024-09-18","2024-09-18",1,1,0,1,0,1,0,0,TRUE,3.26936956157065,5.55398673473332
4,"2024-09-19","2024-09-19",1,1,0,1,0,1,0,0,TRUE,3.29037846445869,5.10405662323859
5,"2024-09-20","2024-09-20",1,1,0,1,0,2,0,0,TRUE,3.39325179918101,4.90842456994489
6,"2024-09-21","2024-09-21",1,0,1,0,1,0,1,0,TRUE,3.45145206460941,2.90597834384095
7,"2024-09-22","2024-09-22",1,0,0,0,0,0,0,0,FALSE,3.45419334430994,5.20762094720414
8,"2024-09-23","2024-09-23",1,0,0,0,0,0,0,0,FALSE,3.75081156633937,5.05330988038552
9,"2024-09-24","2024-09-24",1,1,0,1,0,1,0,0,TRUE,3.59070731757091,5.44805588682314
10,"2024-09-25","2024-09-25",1,0,0,0,0,0,0,0,FALSE,3.78088474312514,5.30617329962763
11,"2024-09-26","2024-09-26",1,0,0,0,0,0,0,0,FALSE,3.37028928372926,5.33806267730605
12,"2024-09-27","2024-09-27",1,1,1,1,1,1,1,0,TRUE,3.30419155642792,4.31251140757256
13,"2024-09-28","2024-09-28",1,1,0,1,0,1,0,0,TRUE,3.26768295373301,5.40161091294697
14,"2024-09-29","2024-09-29",1,0,0,0,0,0,0,0,FALSE,3.3719339374301,5.17887862421263
15,"2024-09-30","2024-09-30",1,0,0,0,0,0,0,0,FALSE,3.47623106009877,5.25087473720127
16,"2024-10-01","2024-10-01",1,1,0,1,0,1,0,0,TRUE,3.46099452273215,5.22902747669826
17,"2024-10-02","2024-10-02",1,0,0,0,0,0,0,0,FALSE,3.39372547558158,4.97698784412416
18,"2024-10-03","2024-10-03",1,1,1,1,1,1,1,0,TRUE,3.35710960934877,2.55068877461015
19,"2024-10-04","2024-10-04",1,1,0,1,0,1,0,0,TRUE,3.44163497443306,4.94775307541185
20,"2024-10-05","2024-10-05",1,1,1,1,1,1,1,0,TRUE,3.35248792608921,2.93308397855975
21,"2024-10-06","2024-10-06",1,0,0,0,0,0,0,0,FALSE,3.75037309740451,5.26292677223657
22,"2024-10-07","2024-10-07",1,0,0,0,0,0,0,0,FALSE,3.89232755280978,5.46878807317893
23,"2024-10-08","2024-10-08",1,1,0,1,0,1,0,0,TRUE,3.67983869422813,5.36284793041879
24,"2024-10-09","2024-10-09",1,1,0,1,0,1,0,0,TRUE,3.33951736671992,5.32306676648124
25,"2024-10-10","2024-10-10",1,0,0,0,0,0,0,0,FALSE,3.65105506100543,5.16196484664792
26,"2024-10-11","2024-10-11",1,1,1,1,1,1,1,0,TRUE,3.31453098746809,2.85121009559429
27,"2024-10-12","2024-10-12",1,1,1,1,1,1,2,0,TRUE,3.38308487267114,4.4712124816297
28,"2024-10-13","2024-10-13",1,1,1,1,1,1,1,0,TRUE,3.28497025093478,2.81082144711408
29,"2024-10-14","2024-10-14",1,0,0,0,0,0,0,0,FALSE,3.3855986629846,5.09396558322724
30,"2024-10-15","2024-10-15",1,1,0,1,0,1,0,0,TRUE,3.35612322949931,5.16554649367193
31,"2024-10-16","2024-10-16",1,1,0,1,0,1,0,0,TRUE,3.51976874542358,4.94888417467801
32,"2024-10-17","2024-10-17",1,1,1,1,1,1,3,0,TRUE,3.63115053417171,2.25905210665113
33,"2024-10-18","2024-10-18",1,1,0,1,0,1,0,0,TRUE,3.71585078198164,4.7112525970334
34,"2024-10-19","2024-10-19",1,1,0,1,0,1,0,0,TRUE,3.81362598417424,5.09111470785926
35,"2024-10-20","2024-10-20",1,0,0,0,0,0,0,0,FALSE,4.05826328258637,5.26567006205324
36,"2024-10-21","2024-10-21",1,1,0,1,0,1,0,0,TRUE,3.89709461732236,5.36216695771159
37,"2024-10-22","2024-10-22",1,1,0,1,0,1,0,0,TRUE,3.96647313713408,5.23420412070397
38,"2024-10-23","2024-10-23",1,1,0,1,0,1,0,0,TRUE,3.90448934133311,5.14117895598517
39,"2024-10-24","2024-10-24",1,1,1,1,1,1,1,0,TRUE,3.83189713751047,2.58849980134189
