"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1959,1326,5185,1257,954,1723
"2024-10",2955,2341,4447,2072,1713,2530
"2024-11",2575,1994,3679,1912,1527,2421
"2024-12",8743,8132,9585,2097,1726,2595
"2025-01",6787,6376,7384,2427,1951,3115
"2025-02",1580,1327,1971,1500,1184,1979
"2025-03",1425,1050,1960,1999,1594,2584
"2025-04",3177,2315,4402,3218,2516,4201
"2025-05",4479,2906,7088,3215,2458,4357
"2025-06",6177,3605,10357,3840,2685,5582
"2025-07",16066,8255,28480,7515,5035,11110
"2025-08",15476,8056,27082,7347,4998,10577
"2025-09",5913,3198,10253,2796,1938,3969
