"data_type","coverage_50","coverage_95","pit_mean","pit_sd","n","n_obs"
"gear",0.576923076923077,0.980769230769231,0.521509880819176,0.267771060773514,52,52
"catch",0.43859649122807,0.982456140350877,0.503922786971453,0.290591950987508,627,627
