"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95"
"Dungeness_Kept","Effort",27691,42399,35350,51805
"Dungeness_Kept","Expected_Catch",45105,72032,53044,101212
"Dungeness_Kept","Predictive_Catch",NA,72027,53064,101402
