"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",48262,31334,75138,0.671
"Trap",11794,10652,13165,0.164
"Ring Net",9558,7871,12017,0.133
"Snare",2012,1758,2316,0.028
"Other",287,125,605,0.004
