"data_type","day_index","event_date","observed","fitted_mean","pit","p_zero","p_one","in_50","in_95"
"gear",2,"2024-09-17",30,30.596,0.561,0.00044,0.00121,TRUE,TRUE
"gear",3,"2024-09-18",29,30.596,0.5373,0.00044,0.00121,TRUE,TRUE
"gear",4,"2024-09-19",55,30.596,0.9097,0.00044,0.00121,FALSE,TRUE
"gear",5,"2024-09-20",29,30.596,0.5373,0.00044,0.00121,TRUE,TRUE
"gear",6,"2024-09-21",48,62.588,0.3972,7e-05,0.00018,TRUE,TRUE
"gear",9,"2024-09-24",50,30.596,0.8727,0.00044,0.00121,FALSE,TRUE
"gear",10,"2024-09-25",13,30.596,0.1302,0.00044,0.00121,FALSE,TRUE
"gear",12,"2024-09-27",34,30.596,0.6483,0.00044,0.00121,TRUE,TRUE
"gear",13,"2024-09-28",79,62.588,0.7381,7e-05,0.00018,TRUE,TRUE
"gear",16,"2024-10-01",30,29.531,0.586,0.00048,0.00132,TRUE,TRUE
"gear",18,"2024-10-03",45,29.531,0.8403,0.00048,0.00132,FALSE,TRUE
"gear",19,"2024-10-04",29,29.531,0.5622,0.00048,0.00132,TRUE,TRUE
"gear",20,"2024-10-05",72,60.272,0.702,7e-05,0.00019,TRUE,TRUE
"gear",23,"2024-10-08",30,29.531,0.586,0.00048,0.00132,TRUE,TRUE
"gear",24,"2024-10-09",29,29.531,0.5622,0.00048,0.00132,TRUE,TRUE
"gear",26,"2024-10-11",14,29.531,0.1635,0.00048,0.00132,FALSE,TRUE
"gear",27,"2024-10-12",62,60.272,0.5984,7e-05,0.00019,TRUE,TRUE
"gear",28,"2024-10-13",64,60.272,0.6209,7e-05,0.00019,TRUE,TRUE
"gear",30,"2024-10-15",27,27.884,0.5506,0.00054,0.00149,TRUE,TRUE
"gear",31,"2024-10-16",37,27.884,0.7638,0.00054,0.00149,FALSE,TRUE
"gear",32,"2024-10-17",43,27.884,0.8466,0.00054,0.00149,FALSE,TRUE
"gear",33,"2024-10-18",39,27.884,0.7949,0.00054,0.00149,FALSE,TRUE
"gear",34,"2024-10-19",62,57.116,0.6373,8e-05,0.00022,TRUE,TRUE
"gear",36,"2024-10-21",29,27.884,0.601,0.00054,0.00149,TRUE,TRUE
"gear",37,"2024-10-22",25,27.884,0.4968,0.00054,0.00149,TRUE,TRUE
"gear",38,"2024-10-23",35,27.884,0.729,0.00054,0.00149,TRUE,TRUE
"gear",39,"2024-10-24",24,27.884,0.4689,0.00054,0.00149,TRUE,TRUE
"gear",40,"2024-10-25",10,27.884,0.0899,0.00054,0.00149,FALSE,TRUE
"gear",41,"2024-10-26",36,57.116,0.2801,8e-05,0.00022,TRUE,TRUE
"gear",42,"2024-10-27",18,57.116,0.0614,8e-05,0.00022,FALSE,TRUE
"gear",45,"2024-10-30",18,25.643,0.3463,0.00071,0.00196,TRUE,TRUE
"gear",46,"2024-10-31",12,25.643,0.1637,0.00071,0.00196,FALSE,TRUE
"gear",47,"2024-11-01",33,25.643,0.7442,0.00071,0.00196,TRUE,TRUE
"gear",48,"2024-11-02",79,52.501,0.8354,1e-04,0.00028,FALSE,TRUE
"gear",51,"2024-11-05",8,25.643,0.0703,0.00071,0.00196,FALSE,TRUE
"gear",52,"2024-11-06",17,25.643,0.3144,0.00071,0.00196,TRUE,TRUE
"gear",53,"2024-11-07",25,25.643,0.5587,0.00071,0.00196,TRUE,TRUE
"gear",54,"2024-11-08",36,25.643,0.7952,0.00071,0.00196,FALSE,TRUE
"gear",55,"2024-11-09",22,52.501,0.1239,1e-04,0.00028,FALSE,TRUE
"gear",59,"2024-11-13",25,25.288,0.5685,0.00072,0.00199,TRUE,TRUE
"gear",60,"2024-11-14",43,25.288,0.8866,0.00072,0.00199,FALSE,TRUE
"gear",61,"2024-11-15",46,25.288,0.9113,0.00072,0.00199,FALSE,TRUE
"gear",62,"2024-11-16",57,51.854,0.6479,1e-04,0.00028,TRUE,TRUE
"gear",65,"2024-11-19",13,25.288,0.1973,0.00072,0.00199,FALSE,TRUE
"gear",66,"2024-11-20",0,25.288,4e-04,0.00072,0.00199,FALSE,FALSE
"gear",67,"2024-11-21",15,25.288,0.2584,0.00072,0.00199,TRUE,TRUE
"gear",68,"2024-11-22",6,25.288,0.039,0.00072,0.00199,FALSE,TRUE
"gear",69,"2024-11-23",23,51.854,0.1416,1e-04,0.00028,FALSE,TRUE
